21210
19970	20131	4246
39675	39786	4408
41735	41808	4520
46550	46768	4594
66538	66649	4813
0	1404	0
12618	12701	1405
13525	13614	1489
14574	14706	1579
14782	14918	1712
15414	15541	1849
16150	16207	1977
17186	17373	2035
20655	20864	2223
21794	22636	2433
0	1327	0
3478	3688	1328
4243	4383	1539
4623	4794	1680
5053	5197	1852
5553	5617	1997
5831	5970	2062
6048	6173	2202
7808	8043	2328
0	241	0
706	859	242
2347	2435	396
2565	3075	485
0	241	0
706	859	242
2347	2435	396
2565	2690	485
2987	3075	611
0	107	0
1337	1976	108
3009	3096	748
3286	3348	836
5614	5925	899
6349	6508	1211
6869	7141	1371
8442	10590	1644
0	919	0
2354	2789	920
0	142	0
1660	1768	143
1872	1978	252
2061	2199	359
2283	2364	498
2713	2783	580
3159	3904	651
0	142	0
1660	1768	143
2061	2199	252
2283	2364	391
2713	5172	473
5381	5542	2933
0	142	0
1599	1768	143
1872	1978	313
2061	2199	420
2283	2364	559
2713	5172	641
5381	5542	3101
0	309	0
1662	1778	310
3256	3723	427
0	154	0
9391	9704	155
12397	12462	469
13670	15276	535
0	43	0
1347	1472	44
2032	2117	170
3417	3487	256
5159	6055	327
7273	7374	1224
9532	9602	1326
11328	11404	1397
12183	12243	1474
14288	14363	1535
14619	14669	1611
15665	16101	1662
18095	18183	2099
21542	23454	2188
0	125	0
685	770	126
2070	2140	212
2264	2376	283
3812	4708	396
5926	6027	1293
8185	8255	1395
9981	10057	1466
10836	10896	1543
12941	13016	1604
13272	13322	1680
14318	14754	1731
16748	16836	2168
20195	22107	2257
0	58	0
3927	3963	59
4641	4709	96
4949	5054	165
6987	7166	271
7235	7281	451
9358	9446	498
11507	11705	587
0	473	0
1890	2000	474
2102	2169	585
2498	2561	653
2767	2912	717
4270	4544	863
0	1215	0
1317	1384	1216
1713	1776	1284
1982	2127	1348
3485	3759	1494
0	217	0
9915	9955	218
10619	10785	259
11081	11146	426
13563	13673	492
14763	14811	603
18293	18375	652
21257	21410	735
22382	22411	889
22637	22777	919
24929	25105	1060
26154	26242	1237
27152	28098	1326
0	217	0
9915	9955	218
10619	10785	259
11081	11146	426
13563	13673	492
14763	14811	603
18293	18375	652
21257	21410	735
22382	22411	889
22637	22777	919
24929	25105	1060
27152	28098	1237
0	64	0
443	528	65
1655	1889	151
1985	2129	386
0	189	0
2835	2993	190
3098	3188	349
3282	3462	440
5000	5108	621
5235	5351	730
5927	6004	847
6157	6255	925
6704	7094	1024
7816	7911	1415
10032	10171	1511
10631	10708	1651
10888	11004	1729
11814	12028	1846
15006	23095	2061
0	2057	0
5573	5704	2058
5962	6028	2190
0	779	0
925	1047	780
1468	1592	903
1856	2035	1028
2222	2339	1208
2410	2513	1326
2599	2699	1430
5425	5637	1531
5713	5885	1744
6175	6263	1917
6357	6433	2006
6536	6664	2083
6760	6852	2212
8365	8469	2305
8730	8980	2410
0	218	0
4128	4221	219
4303	4441	313
5119	5287	452
6008	6759	621
0	1298	0
1572	1643	1299
1721	1910	1371
2224	2387	1561
2539	2625	1725
2980	3091	1812
3425	3552	1924
5132	5240	2052
5350	5410	2161
5621	5712	2222
5827	6142	2314
7945	8171	2630
0	172	0
1231	1344	173
1521	1637	287
2412	2541	404
2630	2717	534
2829	2924	622
3862	4060	718
4228	4354	917
4824	4900	1044
5332	5416	1121
5673	5750	1206
7664	7809	1284
9857	9967	1430
10991	11382	1541
0	720	0
908	2254	721
12795	13389	2068
0	2254	0
12795	13389	2255
0	1859	0
4413	4590	1860
5943	6033	2038
7861	7998	2129
8376	8535	2267
15843	15974	2427
0	1060	0
2257	2405	1061
8205	8329	1210
0	2079	0
2414	2559	2080
2917	3143	2226
6396	6531	2453
9821	9944	2589
10026	10184	2713
10490	10563	2872
11678	11756	2946
11843	11901	3025
12548	12680	3084
12764	12933	3217
13023	13125	3387
14661	14710	3490
16286	16418	3540
18069	18136	3673
22748	22826	3741
23042	23115	3820
37065	37137	3894
40887	40997	3967
0	2559	0
5995	6230	2560
6396	6531	2796
9821	9944	2932
10026	10184	3056
10490	10563	3215
11678	11756	3289
11843	11901	3368
12548	12680	3427
12764	12933	3560
13023	13125	3730
14661	14710	3833
16286	16418	3883
18069	18136	4016
22748	22826	4084
23042	23115	4163
37065	37137	4237
40887	40997	4310
43010	43039	4421
0	1191	0
21490	21782	1192
0	1195	0
2744	2871	1196
3084	3222	1324
3394	3633	1463
5028	5111	1703
6822	7045	1787
7286	7652	2011
7815	7914	2378
8682	8757	2478
9675	9786	2554
9896	10060	2666
13800	13912	2831
14002	14190	2944
14636	14804	3133
14899	14930	3302
17872	18080	3334
18184	18374	3543
19881	19987	3734
20412	20570	3841
23299	23381	4000
23813	23883	4083
24022	24094	4154
24553	24614	4227
25093	25191	4289
26147	26260	4388
27568	27659	4502
28547	28608	4594
29414	29591	4656
29993	30125	4834
0	1195	0
2744	2871	1196
3084	3222	1324
3394	3633	1463
5028	5111	1703
6822	7045	1787
7286	7652	2011
7815	7914	2378
8682	8757	2478
9675	9786	2554
9926	10060	2666
13800	13912	2801
14002	14190	2914
14636	14804	3103
14899	14930	3272
17872	18080	3304
18184	18374	3513
19881	19969	3704
20412	20570	3793
23299	23381	3952
23813	23883	4035
24022	24094	4106
24553	24614	4179
25093	25191	4241
26147	26260	4340
27568	27659	4454
28547	28608	4546
29414	29809	4608
30111	30196	5004
0	908	0
979	1099	909
1185	1323	1030
1452	1567	1169
1973	2083	1285
2461	2534	1396
3236	3349	1470
3460	3597	1584
3772	3885	1722
4688	4811	1836
5018	5149	1960
6273	6436	2092
8326	8539	2256
10593	10697	2470
11632	13385	2575
32956	33207	4329
0	79	0
0	1168	0
1534	1627	1169
2020	2454	1263
0	2361	0
10642	11166	2362
0	449	0
532	711	450
2945	3139	630
4259	4828	825
8376	8543	1395
0	449	0
532	711	450
2945	3139	630
3920	4072	825
4259	4828	978
8376	8543	1548
0	65	0
9605	9652	66
12320	12448	114
12753	12909	243
13515	13616	400
17696	17813	502
18734	20639	620
0	21	0
6472	8029	22
0	256	0
28346	28797	257
37143	37183	709
37280	37349	750
37440	37588	820
37697	37931	969
38001	38086	1204
38157	38241	1290
38333	38481	1375
38590	38673	1524
38749	38855	1608
38987	40175	1715
0	484	0
859	979	485
1316	2022	606
0	1201	0
1382	1528	1202
1718	1805	1349
2052	2244	1437
4556	4753	1630
5269	5374	1828
7572	7728	1934
11896	12015	2091
29849	30255	2211
0	358	0
2663	2706	359
3569	3733	403
4369	4563	568
4956	5051	763
5136	5191	859
5295	5399	915
5653	5726	1020
6032	6111	1094
8715	8812	1174
8896	8997	1272
9133	9220	1374
13330	13476	1462
13625	13773	1609
0	2385	0
2663	2706	2386
3569	3733	2430
4369	4563	2595
4956	5051	2790
5136	5191	2886
5295	5399	2942
5653	5726	3047
6032	6111	3121
8715	8812	3201
8896	8997	3299
9133	9220	3401
13330	13476	3489
13625	13773	3636
0	2388	0
5775	5977	2389
7104	7643	2592
14139	14292	3132
25190	25234	3286
0	293	0
383	463	294
555	626	375
1060	1086	447
1183	1258	474
1418	1465	550
1567	1581	598
1918	1935	613
2386	2715	631
0	293	0
383	463	294
555	626	375
1060	1086	447
1183	1258	474
1418	1465	550
1567	1581	598
1918	1935	613
2107	2160	631
2386	2715	685
0	1274	0
