1620
CTXN1	CTXN1	MissingGeneType
TIMM44	TIMM44	MissingGeneType
ELAVL1	ELAVL1	MissingGeneType
CCL25	CCL25	MissingGeneType
FBN3	FBN3	MissingGeneType
CERS4	CERS4	MissingGeneType
CD320	CD320	MissingGeneType
NDUFA7	NDUFA7	MissingGeneType
RPS28	RPS28	MissingGeneType
KANK3	KANK3	MissingGeneType
ANGPTL4	ANGPTL4	MissingGeneType
LOC100507567	LOC100507567	MissingGeneType
RAB11B	RAB11B	MissingGeneType
MARCH2	MARCH2	MissingGeneType
HNRNPM	HNRNPM	MissingGeneType
PRAM1	PRAM1	MissingGeneType
ZNF414	ZNF414	MissingGeneType
MYO1F	MYO1F	MissingGeneType
ADAMTS10	ADAMTS10	MissingGeneType
ACTL9	ACTL9	MissingGeneType
OR2Z1	OR2Z1	MissingGeneType
ZNF558	ZNF558	MissingGeneType
MBD3L1	MBD3L1	MissingGeneType
MUC16	MUC16	MissingGeneType
OR1M1	OR1M1	MissingGeneType
OR7G2	OR7G2	MissingGeneType
OR7G1	OR7G1	MissingGeneType
OR7G3	OR7G3	MissingGeneType
ZNF317	ZNF317	MissingGeneType
OR7D2	OR7D2	MissingGeneType
OR7D4	OR7D4	MissingGeneType
OR7E24	OR7E24	MissingGeneType
ZNF699	ZNF699	MissingGeneType
ZNF559	ZNF559	MissingGeneType
ZNF559-ZNF177	ZNF559-ZNF177	MissingGeneType
ZNF177	ZNF177	MissingGeneType
ZNF266	ZNF266	MissingGeneType
ZNF560	ZNF560	MissingGeneType
ZNF426	ZNF426	MissingGeneType
ZNF121	ZNF121	MissingGeneType
ZNF561	ZNF561	MissingGeneType
LOC284385	LOC284385	MissingGeneType
ZNF562	ZNF562	MissingGeneType
ZNF812	ZNF812	MissingGeneType
ZNF846	ZNF846	MissingGeneType
FBXL12	FBXL12	MissingGeneType
UBL5	UBL5	MissingGeneType
PIN1	PIN1	MissingGeneType
OLFM2	OLFM2	MissingGeneType
COL5A3	COL5A3	MissingGeneType
RDH8	RDH8	MissingGeneType
C3P1	C3P1	MissingGeneType
C19orf66	C19orf66	MissingGeneType
ANGPTL6	ANGPTL6	MissingGeneType
PPAN-P2RY11	PPAN-P2RY11	MissingGeneType
PPAN	PPAN	MissingGeneType
SNORD105	SNORD105	MissingGeneType
SNORD105B	SNORD105B	MissingGeneType
P2RY11	P2RY11	MissingGeneType
